Date,Open,High,Low,Close,Volume,,
26-03-1990,0.0613,0.0626,0.0606,0.0626,41702400,,
27-03-1990,0.0619,0.0639,0.0613,0.0639,15926400,,
28-03-1990,0.0639,0.0639,0.0632,0.0632,9792000,,
29-03-1990,0.0632,0.0632,0.0619,0.0632,16272000,,
30-03-1990,0.0619,0.0619,0.0593,0.0606,28742400,,
02-04-1990,0.0587,0.06,0.0574,0.0593,15868800,,
03-04-1990,0.0587,0.0606,0.0587,0.06,8352000,,
04-04-1990,0.06,0.0606,0.06,0.06,14284800,,
05-04-1990,0.0606,0.0606,0.0593,0.0597,8323200,,
06-04-1990,0.0593,0.06,0.0587,0.0587,10771200,,c
09-04-1990,0.0593,0.0593,0.058,0.058,6681600,,
10-04-1990,0.058,0.0593,0.0555,0.0568,34790400,,
11-04-1990,0.0568,0.0574,0.0561,0.0568,24796800,,
12-04-1990,0.0574,0.0574,0.0561,0.0574,13161600,,
16-04-1990,0.0574,0.058,0.0568,0.0574,5616000,,
17-04-1990,0.0568,0.058,0.0561,0.058,6566400,,
18-04-1990,0.058,0.0593,0.0574,0.0587,24480000,,
19-04-1990,0.058,0.0593,0.058,0.0593,25142400,,
20-04-1990,0.0593,0.0593,0.0574,0.0574,8755200,,
23-04-1990,0.0574,0.0587,0.0568,0.058,5356800,,
24-04-1990,0.0593,0.0593,0.0587,0.059,10281600,,
25-04-1990,0.0593,0.06,0.0593,0.0593,6768000,,
26-04-1990,0.0593,0.0606,0.0593,0.0593,10713600,,
27-04-1990,0.0593,0.06,0.0587,0.0587,4204800,,
30-04-1990,0.06,0.0626,0.0593,0.0613,34329600,,
01-05-1990,0.0626,0.0626,0.0613,0.0623,28771200,,
02-05-1990,0.0619,0.0626,0.0613,0.0613,3139200,,
03-05-1990,0.0626,0.0632,0.0619,0.0632,7228800,,
04-05-1990,0.0626,0.0639,0.0626,0.0639,5702400,,
07-05-1990,0.0639,0.0658,0.0639,0.0645,13536000,,
08-05-1990,0.0658,0.0658,0.0639,0.0651,14486400,,
09-05-1990,0.0651,0.0651,0.0632,0.0639,9676800,,
10-05-1990,0.0645,0.0645,0.0632,0.0632,2793600,,
11-05-1990,0.0658,0.0664,0.0632,0.0639,29923200,,
14-05-1990,0.0651,0.0651,0.0639,0.0639,15235200,,
15-05-1990,0.0651,0.0651,0.0639,0.0642,24134400,,
16-05-1990,0.0651,0.0651,0.0632,0.0639,18720000,,
17-05-1990,0.0645,0.0645,0.0639,0.0645,6595200,,
18-05-1990,0.0639,0.0645,0.0626,0.0632,45417600,,
21-05-1990,0.0626,0.0645,0.0626,0.0632,4032000,,
22-05-1990,0.0632,0.0639,0.0632,0.0632,22982400,,
23-05-1990,0.0632,0.0639,0.0626,0.0626,39715200,,
24-05-1990,0.0639,0.0639,0.0626,0.0639,8121600,,
25-05-1990,0.0619,0.0632,0.0613,0.0619,4003200,,
29-05-1990,0.0619,0.0632,0.0606,0.0613,20707200,,
30-05-1990,0.0619,0.0619,0.06,0.0606,96278400,,
31-05-1990,0.06,0.0645,0.06,0.0639,102988800,,
01-06-1990,0.0639,0.0658,0.0632,0.0645,103132800,,
04-06-1990,0.0651,0.0664,0.0639,0.0664,48499200,,
05-06-1990,0.0658,0.0697,0.0658,0.069,56131200,,
06-06-1990,0.069,0.069,0.0671,0.0684,23241600,,
07-06-1990,0.069,0.069,0.0658,0.0664,18144000,,
08-06-1990,0.0671,0.0671,0.0645,0.0651,6566400,,
11-06-1990,0.0632,0.0651,0.0632,0.0648,3686400,,
12-06-1990,0.0651,0.0722,0.0645,0.0709,133401600,,
13-06-1990,0.0722,0.0722,0.0716,0.0716,52099200,,
14-06-1990,0.0722,0.0729,0.0709,0.0722,54374400,,
15-06-1990,0.0709,0.0722,0.0709,0.0709,6537600,,
18-06-1990,0.0722,0.0722,0.0684,0.0697,11923200,,
19-06-1990,0.0671,0.069,0.0671,0.069,20851200,,
20-06-1990,0.069,0.0703,0.0684,0.0697,30124800,,
21-06-1990,0.069,0.0703,0.0684,0.0703,9936000,,
22-06-1990,0.0703,0.0703,0.069,0.0703,806400,,
25-06-1990,0.0703,0.0703,0.069,0.0693,3600000,,
26-06-1990,0.069,0.0697,0.0671,0.0684,4665600,,
27-06-1990,0.069,0.069,0.0671,0.0684,3801600,,
28-06-1990,0.0671,0.0684,0.0645,0.0677,153648000,,
29-06-1990,0.0677,0.0684,0.0671,0.0684,48268800,,
02-07-1990,0.0684,0.0697,0.0671,0.069,38131200,,
03-07-1990,0.0684,0.0697,0.0684,0.069,2851200,,
05-07-1990,0.0684,0.0684,0.0671,0.0681,6508800,,
06-07-1990,0.0671,0.0681,0.0671,0.0681,2476800,,
09-07-1990,0.0681,0.0684,0.0671,0.0677,14630400,,
10-07-1990,0.069,0.0697,0.0677,0.0697,41529600,,
11-07-1990,0.0697,0.0716,0.069,0.0709,32515200,,
12-07-1990,0.0716,0.0742,0.0709,0.0742,16617600,,
13-07-1990,0.0729,0.078,0.0729,0.078,46627200,,
16-07-1990,0.0774,0.078,0.0748,0.0761,79977600,,
17-07-1990,0.0755,0.0761,0.0703,0.0722,42019200,,
18-07-1990,0.0703,0.0742,0.0703,0.0735,23529600,,
19-07-1990,0.0729,0.0742,0.0722,0.0722,25804800,,
20-07-1990,0.0729,0.0729,0.0716,0.0722,60192000,,
23-07-1990,0.0722,0.0722,0.0677,0.0677,35913600,,
24-07-1990,0.0684,0.0684,0.0613,0.0639,51264000,,
25-07-1990,0.0626,0.0664,0.0626,0.0658,43718400,,
26-07-1990,0.0658,0.0677,0.0658,0.0671,17740800,,
27-07-1990,0.0677,0.0677,0.0664,0.0664,8841600,,
30-07-1990,0.0664,0.0671,0.0651,0.0671,17856000,,
31-07-1990,0.0671,0.0671,0.0658,0.0658,9331200,,
01-08-1990,0.0658,0.0658,0.0645,0.0658,8409600,,
02-08-1990,0.0651,0.0651,0.0626,0.0645,6163200,,
03-08-1990,0.0639,0.0639,0.0593,0.0626,54460800,,
06-08-1990,0.0626,0.0632,0.0587,0.0619,62150400,,
07-08-1990,0.0632,0.0645,0.0619,0.0629,36115200,,
08-08-1990,0.0632,0.0639,0.0619,0.0619,21916800,,
09-08-1990,0.0626,0.0658,0.0619,0.0651,50803200,,
10-08-1990,0.0645,0.0658,0.0613,0.0619,35193600,,
13-08-1990,0.0606,0.0613,0.0593,0.0609,12931200,,
14-08-1990,0.06,0.0613,0.06,0.06,21945600,,
15-08-1990,0.0613,0.0613,0.06,0.0613,35856000,,
16-08-1990,0.0603,0.0613,0.06,0.06,21744000,,
17-08-1990,0.0606,0.0639,0.0593,0.0639,88185600,,
20-08-1990,0.0639,0.0658,0.0632,0.0639,45417600,,
21-08-1990,0.0626,0.0632,0.06,0.0606,36720000,,
22-08-1990,0.0626,0.0632,0.0619,0.0626,26409600,,
23-08-1990,0.0593,0.0606,0.0568,0.058,56678400,,
24-08-1990,0.0593,0.0619,0.0587,0.0613,59011200,,
27-08-1990,0.0632,0.0658,0.0632,0.0651,36720000,,
28-08-1990,0.0645,0.0651,0.0639,0.0645,19843200,,
29-08-1990,0.0639,0.0645,0.0619,0.0639,49737600,,
30-08-1990,0.0639,0.0648,0.0626,0.0639,45590400,,
31-08-1990,0.0639,0.0651,0.0639,0.0639,12182400,,
04-09-1990,0.0639,0.0651,0.0632,0.0639,26236800,,
05-09-1990,0.0651,0.0651,0.0639,0.0645,36720000,,
06-09-1990,0.0639,0.0645,0.0619,0.0626,37209600,,
07-09-1990,0.0632,0.0645,0.0626,0.0645,16300800,,
10-09-1990,0.0645,0.0651,0.0632,0.0639,40204800,,
11-09-1990,0.0639,0.0651,0.0639,0.0639,11894400,,
12-09-1990,0.0639,0.0645,0.0639,0.0645,13305600,,
13-09-1990,0.0651,0.0651,0.0639,0.0639,20966400,,
14-09-1990,0.0639,0.0651,0.0639,0.0639,16819200,,
17-09-1990,0.0645,0.0671,0.0639,0.0671,89712000,,
18-09-1990,0.0671,0.0697,0.0658,0.069,33667200,,
19-09-1990,0.0697,0.0697,0.0651,0.0658,74073600,,
20-09-1990,0.0651,0.0667,0.0651,0.0658,75571200,,
21-09-1990,0.0658,0.0658,0.0632,0.0639,60969600,,
24-09-1990,0.0626,0.0632,0.0613,0.0626,96278400,,
25-09-1990,0.0613,0.0639,0.0613,0.0632,115718400,,
26-09-1990,0.0639,0.0639,0.0613,0.0613,64512000,,
27-09-1990,0.0619,0.0626,0.0574,0.0584,74073600,,
28-09-1990,0.0574,0.058,0.0561,0.058,155030400,,
01-10-1990,0.058,0.0632,0.058,0.0626,89596800,,
02-10-1990,0.0645,0.0651,0.0613,0.0619,48441600,,
03-10-1990,0.0613,0.0626,0.06,0.06,61459200,,
04-10-1990,0.06,0.0619,0.06,0.0619,23385600,,
05-10-1990,0.0593,0.0626,0.0593,0.0606,43401600,,
08-10-1990,0.0632,0.0632,0.0613,0.0616,10598400,,
09-10-1990,0.0613,0.0619,0.0561,0.0574,115027200,,
10-10-1990,0.0542,0.0548,0.051,0.0529,113241600,,
11-10-1990,0.0522,0.0542,0.0516,0.0529,70041600,,
12-10-1990,0.0548,0.0577,0.0535,0.0561,41241600,,
15-10-1990,0.058,0.0593,0.0555,0.0558,59270400,,
16-10-1990,0.0574,0.0613,0.0574,0.0593,61632000,,
17-10-1990,0.0606,0.0645,0.0593,0.0626,50515200,,
18-10-1990,0.0639,0.0684,0.0632,0.0684,121305600,,
19-10-1990,0.0729,0.0752,0.0722,0.0742,241171200,,
22-10-1990,0.0748,0.0768,0.0742,0.0768,127843200,,
23-10-1990,0.0768,0.0793,0.0755,0.0784,102326400,,
24-10-1990,0.0768,0.0813,0.0755,0.0806,66297600,,
25-10-1990,0.0813,0.0826,0.08,0.0806,83088000,,
26-10-1990,0.08,0.08,0.0748,0.0748,94003200,,
29-10-1990,0.0748,0.0755,0.0716,0.0722,37785600,,
30-10-1990,0.0722,0.0748,0.0684,0.0735,90633600,,
31-10-1990,0.0755,0.078,0.0748,0.0761,81244800,,
01-11-1990,0.0748,0.0761,0.0742,0.0761,35971200,,
02-11-1990,0.0761,0.078,0.0755,0.078,27648000,,
05-11-1990,0.078,0.0813,0.0768,0.0806,37324800,,
06-11-1990,0.0813,0.0832,0.0806,0.0819,35827200,,
07-11-1990,0.0822,0.0822,0.0774,0.0774,118022400,,
08-11-1990,0.0832,0.0935,0.0826,0.0874,701654400,,
09-11-1990,0.089,0.0916,0.089,0.0909,141033600,,
12-11-1990,0.0903,0.0909,0.0897,0.0903,111801600,,
13-11-1990,0.0903,0.0916,0.089,0.0916,66412800,,
14-11-1990,0.0909,0.0929,0.0903,0.0926,180259200,,
15-11-1990,0.0929,0.0955,0.0916,0.0942,96883200,,
16-11-1990,0.0942,0.0955,0.0935,0.0942,179280000,,
19-11-1990,0.0955,0.0961,0.0948,0.0961,45043200,,
20-11-1990,0.0961,0.0961,0.0948,0.0948,47289600,,
21-11-1990,0.0948,0.0948,0.0909,0.0942,71596800,,
23-11-1990,0.0948,0.0955,0.0942,0.0948,7862400,,
26-11-1990,0.0935,0.0948,0.0929,0.0945,41702400,,
27-11-1990,0.0945,0.1026,0.0942,0.1019,128188800,,
28-11-1990,0.1019,0.1032,0.1006,0.1013,126777600,,
29-11-1990,0.1013,0.1019,0.0974,0.0987,84960000,,
30-11-1990,0.098,0.1019,0.0974,0.1019,102297600,,
03-12-1990,0.1032,0.1074,0.1019,0.1051,125942400,,
04-12-1990,0.1058,0.1071,0.1051,0.1067,66931200,,
05-12-1990,0.1071,0.1084,0.1045,0.1071,95356800,,
06-12-1990,0.1084,0.1106,0.1064,0.1077,151488000,,
07-12-1990,0.1077,0.1077,0.1064,0.1064,36115200,,
10-12-1990,0.1058,0.1071,0.1058,0.1058,5126400,,
11-12-1990,0.1064,0.1064,0.1032,0.1042,58147200,,
12-12-1990,0.1032,0.1077,0.1026,0.1071,67305600,,
13-12-1990,0.1077,0.1135,0.1064,0.1116,131904000,,
14-12-1990,0.1116,0.1167,0.1096,0.1161,125625600,,
17-12-1990,0.1148,0.1167,0.1129,0.1148,105120000,,
18-12-1990,0.1148,0.1148,0.1096,0.1122,83260800,,
19-12-1990,0.1135,0.1161,0.1116,0.1155,93427200,,
20-12-1990,0.1142,0.1167,0.1129,0.1135,111974400,,
21-12-1990,0.1142,0.1142,0.1109,0.1135,48384000,,
24-12-1990,0.1129,0.1129,0.1116,0.1122,14889600,,
26-12-1990,0.1116,0.1129,0.1084,0.1084,58147200,,
27-12-1990,0.1084,0.1116,0.1077,0.1109,56736000,,
28-12-1990,0.1109,0.1138,0.1109,0.1138,63043200,,
31-12-1990,0.1142,0.1164,0.1135,0.1158,29664000,,
02-01-1991,0.1155,0.1155,0.1129,0.1129,63561600,,
03-01-1991,0.1129,0.1135,0.1084,0.1084,104716800,,
04-01-1991,0.1077,0.1096,0.1038,0.1051,194803200,,
07-01-1991,0.1045,0.1045,0.1013,0.1026,89971200,,
08-01-1991,0.1026,0.1071,0.1026,0.1064,64108800,,
09-01-1991,0.109,0.109,0.1051,0.1058,89942400,,
10-01-1991,0.1071,0.1071,0.1051,0.1071,49363200,,
11-01-1991,0.1071,0.1071,0.1051,0.1058,33580800,,
14-01-1991,0.1045,0.1084,0.1045,0.1071,59328000,,
15-01-1991,0.1071,0.1155,0.1071,0.1151,85248000,,
16-01-1991,0.1155,0.1238,0.1148,0.1206,105724800,,
17-01-1991,0.1264,0.1296,0.1225,0.1264,178502400,,
18-01-1991,0.1251,0.1284,0.1232,0.1284,110448000,,
21-01-1991,0.1277,0.1361,0.1271,0.1361,85795200,,
22-01-1991,0.1361,0.138,0.1322,0.1332,145036800,,
23-01-1991,0.1329,0.1335,0.1303,0.1316,108691200,,
24-01-1991,0.1322,0.1335,0.1309,0.1309,68083200,,
25-01-1991,0.1309,0.1393,0.1309,0.1387,107596800,,
28-01-1991,0.1374,0.1445,0.137,0.1432,148867200,,
29-01-1991,0.1432,0.1435,0.138,0.1419,171216000,,
30-01-1991,0.1425,0.149,0.1419,0.1477,157852800,,
31-01-1991,0.1483,0.1535,0.1474,0.1509,138441600,,
01-02-1991,0.1509,0.1548,0.149,0.1503,118886400,,
04-02-1991,0.1503,0.1509,0.1471,0.149,134064000,,
05-02-1991,0.1516,0.1542,0.1496,0.1503,94550400,,
06-02-1991,0.149,0.1535,0.1464,0.1516,113155200,,
07-02-1991,0.1529,0.1554,0.1464,0.1467,144921600,,
08-02-1991,0.1516,0.1542,0.1451,0.1522,503251200,,
11-02-1991,0.1522,0.1567,0.1483,0.1487,272822400,,
12-02-1991,0.149,0.1529,0.1483,0.1529,513072000,,
13-02-1991,0.1522,0.1554,0.1522,0.1554,166550400,,
14-02-1991,0.1548,0.1554,0.1503,0.1509,171964800,,
15-02-1991,0.1503,0.1516,0.1496,0.1509,195811200,,
19-02-1991,0.1509,0.1516,0.1483,0.1496,157996800,,
20-02-1991,0.149,0.1509,0.149,0.149,60739200,,
21-02-1991,0.1496,0.1496,0.1471,0.1471,75225600,,
22-02-1991,0.1464,0.1483,0.1425,0.1464,299664000,,
25-02-1991,0.1471,0.149,0.1451,0.1464,97660800,,
26-02-1991,0.1464,0.1464,0.1413,0.1432,111974400,,
27-02-1991,0.1419,0.1432,0.1361,0.139,195811200,,
28-02-1991,0.14,0.1455,0.1393,0.1445,132624000,,
01-03-1991,0.1451,0.1483,0.1438,0.1471,91641600,,
04-03-1991,0.149,0.1496,0.1477,0.149,60019200,,
05-03-1991,0.1496,0.1542,0.1483,0.1542,138124800,,
06-03-1991,0.1554,0.1567,0.1471,0.1471,164505600,,
07-03-1991,0.1471,0.1474,0.1367,0.1413,379987200,,
08-03-1991,0.1432,0.1471,0.1419,0.1432,132969600,,
11-03-1991,0.1425,0.1425,0.1335,0.1367,154742400,,
12-03-1991,0.1354,0.1354,0.1277,0.1277,223430400,,
13-03-1991,0.129,0.1354,0.1284,0.1348,231984000,,
14-03-1991,0.1374,0.139,0.1251,0.1277,365299200,,
15-03-1991,0.1296,0.1303,0.1213,0.1238,219081600,,
18-03-1991,0.1251,0.1367,0.1225,0.1316,60026400,,
19-03-1991,0.129,0.1367,0.1264,0.1342,83707200,,
20-03-1991,0.138,0.1483,0.1354,0.1458,200649600,,
21-03-1991,0.1483,0.1509,0.1342,0.1367,163929600,,
22-03-1991,0.1342,0.1406,0.1316,0.1329,72259200,,
25-03-1991,0.1342,0.1342,0.1251,0.1271,87148800,,
26-03-1991,0.1251,0.131,0.1251,0.129,185673600,,
27-03-1991,0.129,0.138,0.1225,0.1367,478137600,,
28-03-1991,0.1367,0.1367,0.1238,0.1257,301708800,,
01-04-1991,0.1238,0.1238,0.1084,0.1148,326966400,,
02-04-1991,0.12,0.1354,0.1187,0.1342,350582400,,
03-04-1991,0.1354,0.1367,0.1303,0.1354,188913600,,
04-04-1991,0.1329,0.138,0.1303,0.1316,147859200,,
05-04-1991,0.1316,0.1329,0.1187,0.1297,168753600,,
08-04-1991,0.1277,0.1354,0.1264,0.1342,40939200,,
09-04-1991,0.1342,0.1342,0.1303,0.1316,45403200,,
10-04-1991,0.1316,0.1342,0.1303,0.131,56433600,,
11-04-1991,0.1329,0.1419,0.1316,0.1406,111038400,,
12-04-1991,0.1393,0.1496,0.1393,0.1471,141537600,,
15-04-1991,0.1471,0.1471,0.138,0.1432,46483200,,
16-04-1991,0.1432,0.1548,0.1393,0.1535,177422400,,
17-04-1991,0.1548,0.169,0.1535,0.1677,298425600,,
18-04-1991,0.1664,0.1677,0.1612,0.1664,144489600,,
19-04-1991,0.1651,0.1651,0.16,0.1638,126100800,,
22-04-1991,0.1612,0.1625,0.1509,0.1574,66081600,,
23-04-1991,0.1587,0.1638,0.1587,0.16,46440000,,
24-04-1991,0.1612,0.1664,0.16,0.1664,90417600,,
25-04-1991,0.1651,0.1664,0.1574,0.1612,73281600,,
26-04-1991,0.1574,0.16,0.1574,0.1574,54619200,,
29-04-1991,0.1574,0.16,0.1471,0.1483,55468800,,
30-04-1991,0.1471,0.1535,0.1458,0.1535,77976000,,
01-05-1991,0.1496,0.1574,0.1471,0.1548,47980800,,
02-05-1991,0.1574,0.16,0.1561,0.1587,25977600,,
03-05-1991,0.1587,0.1587,0.1548,0.1587,34387200,,
06-05-1991,0.1561,0.1638,0.1548,0.1625,59601600,,
07-05-1991,0.1638,0.1651,0.1535,0.1625,111945600,,
08-05-1991,0.1638,0.1651,0.1535,0.1612,109123200,,
09-05-1991,0.1638,0.1651,0.1587,0.1638,90489600,,
10-05-1991,0.1703,0.1729,0.1561,0.1587,276739200,,
13-05-1991,0.1587,0.1638,0.1587,0.1638,99460800,,
14-05-1991,0.1625,0.1625,0.1574,0.158,88790400,,
15-05-1991,0.1522,0.1561,0.1432,0.1458,180158400,,
16-05-1991,0.1471,0.1509,0.1458,0.1496,95299200,,
17-05-1991,0.1458,0.1483,0.1445,0.1471,42566400,,
20-05-1991,0.1471,0.1483,0.1445,0.1458,37252800,,
21-05-1991,0.1483,0.1548,0.1471,0.1509,74764800,,
22-05-1991,0.1522,0.16,0.1522,0.1574,102585600,,
23-05-1991,0.1587,0.1612,0.1587,0.16,79286400,,
24-05-1991,0.1612,0.1638,0.1587,0.1638,57254400,,
28-05-1991,0.1638,0.1729,0.1625,0.1716,107985600,,
29-05-1991,0.1716,0.1741,0.1638,0.1664,66945600,,
30-05-1991,0.169,0.1703,0.1638,0.1683,67046400,,
31-05-1991,0.1703,0.1703,0.1638,0.1664,61300800,,
03-06-1991,0.1664,0.1677,0.1625,0.1677,66988800,,
04-06-1991,0.1664,0.1716,0.1651,0.1703,83433600,,
05-06-1991,0.1716,0.1716,0.1677,0.1716,49564800,,
06-06-1991,0.1716,0.1716,0.1677,0.1697,50371200,,
07-06-1991,0.1664,0.1716,0.1664,0.169,66542400,,
10-06-1991,0.1703,0.1729,0.169,0.169,24580800,,
11-06-1991,0.1703,0.1729,0.169,0.1716,37094400,,
12-06-1991,0.1716,0.1716,0.1651,0.1677,71712000,,
13-06-1991,0.1677,0.1729,0.1664,0.1716,51091200,,
14-06-1991,0.1716,0.1806,0.1703,0.1754,118598400,,
17-06-1991,0.1754,0.187,0.1754,0.1832,98409600,,
18-06-1991,0.1845,0.187,0.1793,0.1806,76348800,,
19-06-1991,0.1819,0.1832,0.1703,0.1754,82152000,,
20-06-1991,0.1729,0.1767,0.1703,0.1748,47808000,,
21-06-1991,0.178,0.1793,0.1703,0.1716,53395200,,
24-06-1991,0.1703,0.1729,0.16,0.1612,109872000,,
25-06-1991,0.1625,0.1651,0.1561,0.1587,65980800,,
26-06-1991,0.1574,0.16,0.1509,0.1574,55238400,,
27-06-1991,0.16,0.1625,0.1574,0.16,84326400,,
28-06-1991,0.1612,0.1612,0.1522,0.1574,71208000,,
01-07-1991,0.1612,0.1664,0.1587,0.1664,37252800,,
02-07-1991,0.1651,0.1651,0.1612,0.1638,34804800,,
03-07-1991,0.1625,0.1664,0.1625,0.1651,75700800,,
05-07-1991,0.1651,0.1651,0.1612,0.1638,7934400,,
08-07-1991,0.1625,0.169,0.1587,0.1683,49723200,,
09-07-1991,0.1729,0.1806,0.1703,0.1761,121953600,,
10-07-1991,0.178,0.1819,0.1703,0.1767,52171200,,
11-07-1991,0.178,0.178,0.1741,0.1767,10713600,,
12-07-1991,0.178,0.1819,0.1754,0.1806,44582400,,
15-07-1991,0.1819,0.1832,0.1793,0.1806,29433600,,
16-07-1991,0.1819,0.1883,0.1806,0.1819,85881600,,
17-07-1991,0.1819,0.1877,0.1806,0.1845,28814400,,
18-07-1991,0.1845,0.187,0.1845,0.187,58363200,,
19-07-1991,0.1858,0.1987,0.1858,0.1935,78278400,,
22-07-1991,0.1948,0.1987,0.1909,0.1935,61977600,,
23-07-1991,0.1935,0.1935,0.1883,0.1883,94219200,,
24-07-1991,0.1896,0.1896,0.1819,0.1832,70732800,,
25-07-1991,0.1845,0.1858,0.1819,0.1851,53928000,,
26-07-1991,0.1858,0.1903,0.1845,0.189,95630400,,
29-07-1991,0.1883,0.1987,0.1883,0.1961,60364800,,
30-07-1991,0.1987,0.1999,0.1961,0.1999,65635200,,
31-07-1991,0.1999,0.2038,0.1922,0.2025,115977600,,
